"ret","RV","RV_p","RV_n","RS","RK"
0.0120472308618811,0.0155114039032833,0.0125215507455248,0.0091550214624566,0.573160102119373,5.09965602639265
0.0282087311593036,0.0129383603451473,0.0084834366135727,0.00976895448061742,-0.543282021630214,4.25040810406932
-0.00291664939312541,0.0122711039478209,0.00972260837598944,0.00748671346221863,0.646611879265951,4.36309658886376
0.0148119524934005,0.0144209848203107,0.0117679634264872,0.00833545679495083,1.49138524498819,9.69829422275403
0.00668774128784966,0.0148422757387109,0.0105351463261264,0.0104548477268218,0.140297458463524,4.17256381139395
-0.00254352601310126,0.0198084361852867,0.015644176806196,0.0121504681458394,1.44230239622853,11.9927665581878
0.000953631184199999,0.0158311311539757,0.0123904235479537,0.00985404068982335,1.13302394593095,8.02282378139825
0.00127135948205703,0.0119933745246616,0.00907840733855949,0.00783731795220729,1.27553135880891,9.09022325680375
-0.00860842918633509,0.0136790878290899,0.00525873881051538,0.0126278703651382,-3.24476701224786,16.569829030478
-0.0233339598405125,0.0154621880635535,0.0115325337789777,0.0102995108791357,0.0640608748258392,6.23119310245117
0.00327216084323823,0.0117773214136969,0.00780328723358063,0.00882122486006116,-0.0645843991932767,4.57956897289894
-0.0121651988758664,0.0317006773035087,0.0288061818014021,0.0132339272903307,3.03559151874761,14.7430012527024
0.0354238106604492,0.0193966542072628,0.0158273314404086,0.0112127505060791,0.964744122118824,3.84798690136162
0.0289504929762301,0.01146076486743,0.00864266473593052,0.00752685044416462,0.548260997507528,4.35290795822837
-0.000311222923339294,0.0131087219350657,0.00818854079674985,0.0102365223777822,-0.196611218864753,4.5414650581976
-0.0254526443201213,0.0149544093535944,0.0117237239693583,0.00928378454107841,0.535855936299167,3.17792585170798
0.0207875316560395,0.016603825351406,0.0104069306767318,0.0129376508760166,-0.577781629120329,3.67412796267828
-0.0103397516164949,0.0175054322844841,0.011937874093096,0.0128034105457899,0.0374095874571596,3.50342894536939
-0.00410105437994313,0.0161645139572576,0.0124296585163984,0.0103341715023557,0.620674066335163,3.06742244229467
0.00126452569776125,0.0148464304442353,0.0105550712043155,0.010440640248919,-0.0827407284407726,2.88061890701973
0.00880344901601582,0.0193176154787246,0.0119348265918175,0.0151898051997748,-0.874897058621035,4.1486038620696
-0.00502319593657186,0.0284340963435205,0.0213903675342016,0.0187336598566426,0.688237914886959,6.52457356654363
